Judul,Perusahaan,Lokasi,Jurusan
Pengolah Data Impor Perikanan Indonesia,Direktorat Pemasaran,"Jl. Medan Merdeka Timur No.16 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sosial Ekonomi Perikanan
Sales Operations Intern,Global Digital Niaga,"Gedung Sarana Jaya, Jalan Budi Kemuliaan I Nomor 1, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Sistem Informasi, Ilmu Administrasi Publik, Ilmu Administrasi Niaga"
Asisten Perantaraan Kerja (Pusat),Direktorat Bina Perluasan Kesempatan Kerja,"Jl. Gatot Subroto No.Kav 51, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Ekonomi, Statistik, Manajemen, Desain Grafis"
Pusdatin - Data Analyst Intern,Pusat Data dan Informasi,"Gedung B.J. Habibie, Jl. M.H. Thamrin No. 8, Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika, Sains Data, Teknik Informatika, Sistem informasi"
IT Staff,Biro Hukum,"Jl. Medan Merdeka Timur No. 16 Jakarta Pusat (Gedung Mina Bahari IV Lt. 3b), KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Ilmu Komputer, Sistem informasi, Teknologi Informasi, Manajemen Informatika"
Production Planning & Inventory Control,PT Sanggar Sarana Baja,"Gedung TMT 1, Lantai 5, Suite 501, Jl Cilandak KKO No.1, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Industri
Sumber Daya Manusia  (Manajemen Kearsipan),Ipc Terminal Petikemas,"Jalan Yos Sudarso No.9, Pelindo Tower Lantai 15, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Administrasi Perkantoran Digital, Administrasi Perkantoran"
Frontend Developer,PT Trans Retail Indonesia,"Jl. Jenderal Ahmad Yani No.83, RT.10/RW.7, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Ilmu Komputer"
PENGELOLA BARANG MILIK NEGARA,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Aset, Manajemen Aset Publik"
"Arsiparis Biro Perencanaan, Organisasi dan Kepegawaian",Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Informasi, Perpustakaan & Kearsipan, Kearsipan, Kearsipan Digital, Manajemen Rekod dan Arsip, Pengelolaan Arsip dan Rekaman Informasi"
HSSE ( Healty Safety Security Environment),Ipc Terminal Petikemas,"Jalan Yos Sudarso No.9, Pelindo Tower Lantai 15, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Kesehatan Lingkungan, Pengelolaan Lingkungan, Rekayasa Infrastruktur dan Lingkungan, Teknik Infrastruktur Lingkungan, Teknik Pengendalian Pencemaran Lingkungan"
Analis Kinerja,Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Bisnis, Manajemen Keuangan, Teknik Industri"
Policy Data Analyst,PT Indekstat Konsultan Indonesia,"Marquee, Equity Tower lt. 37, Jl. Jenderal sudirman Kav. 52-53, Kebayoran Baru, Jakarta Selatan 12190, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Publik, Ilmu Administrasi Publik, Manajemen dan Kebijakan Publik, Studi Kebijakan Publik"
Accounting,Eka Bogainti,"Jalan Poncol Raya No 2, Ciracas, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Ilmu Ekonomi"
Analis Kebijakan,Biro Organisasi dan Sumber Daya Manusia,"Gedung Soedjono Djoened Poesponegoro/Gedung BPPT I, Jl. M.H. Thamrin No.8 Lantai 9, 10, 11, Kebon Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Politik, Administrasi Publik, Hukum"
Learning Design,Eka Bogainti,"Jalan Poncol Raya No 2, Ciracas, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan Ilmu Pengetahuan Alam, Pendidikan Ilmu Pengetahuan Sosial, Pendidikan Geografi, Pendidikan Biologi, Pendidikan Sosiologi"
F&B Service Intern,PT Success Venture Hotel Investments,"Luminary Tower, Thamrin Nine, JL MH. Thamrin No. 10 Kebon Melati, Tanah Abang. DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata, Pengelolaan Perhotelan, Hospitaliti dan Pariwisata"
Administrasi,Comtexindo Utama,"GRAHA IRAMA LT.7 D/E - JL.HR RASUNA SAID, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Akuntansi, Ekonomi, Manajemen, Ilmu Komunikasi"
Graduate Intern,Indonesia Carbon Capture And Storage Center,"Gedung Plaza Asia Lantai 18, Jalan Jenderal Sudirman Kaveling 59, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Hukum, Ilmu Perpustakaan, Teknik Kimia, Teknik Mesin"
Magang Material Support,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Logistik, Teknik Industri, Administrasi Bisnis, Sistem Informasi"
Branch Business Development Intern,PT. Bank Mandiri (Persero) Tbk Cabang Jakarta Itc Permata Hijau,"Grand ITC Permata Hijau, Emerald No 28
JL. Raya Permata Hijau, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Statistika, Ekonomi, Teknik Industri, Ilmu Komunikasi"
Sales Representative,PT Sinarniaga Sejahtera (Cipinang),"Jl. Cipinang Muara 2, RT.15/RW.4, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen Pemasaran, Manajemen Pemasaran/Marketing, Bisnis, Bisnis Manajemen Retail"
TEKNISI KELISTRIKAN,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Teknik Elektro
"Keberlanjutan Ekonomi, Sosial dan  Lingkungan",Bank Bca Syariah,"JL. JATINEGARA TIMUR NOMOR 72, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ekonomi Sumberdaya Dan Lingkungan, Manajemen dan Bisnis Syariah, Manajemen, Ilmu Komunikasi, Administrasi"
BackEnd Engineer,Node Solusi Teknologi,"Apl Tower-Central Park Lantai 19 Unit T7 Jalan Letjend S Parman Kav.28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik informatika, Sistem informasi, Teknologi Informasi, Sistem dan Teknologi Informasi"
Sales,Sejahtera Tridaya Prima,"GEDUNG PLAZA AMINTA LT. 2 SUITE 202, JL  LETJEN TB SIMATUPANG KAV 10, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Mesin, Pendidikan Teknik Elektro, Teknik Pertambangan Batubara, Teknik Manajemen Industri, Manajemen Ekonomi"
Service Assurance,Asianet Media Teknologi,"Gedung Plaza Kuningan Lt. 7 Jl. H. R. Rasuna Said, Karet Kuningan, Setiabudi
Jakarta Selatan, DKI Jakarta, Indonesia, 12920, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Telekomunikasi, Teknik Telekomunikasi, Teknik Elektro"
Frontend Engineer,Node Solusi Teknologi,"Apl Tower-Central Park Lantai 19 Unit T7 Jalan Letjend S Parman Kav.28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Informatika, sistem informasi, Matematika, Teknik Komputer"
Fisikawan Medis,Balai Pengamanan Alat Dan Fasilitas Kesehatan Jakarta Ditjen Kefarmasian Dan Alat Kesehatan Kementerian Kesehatan,"Jl Percetakan Negara No.23 A, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Fisika
Finance Staff,PT Medicap Sehat Solusi,"Sona Topas Tower Lantai 5A, Jl. Jend. Sudirman Kav. 26, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Keuangan, Manajemen Keuangan, Perbankan Dan Keuangan, Akuntansi Keuangan"
Human Capital Intern,Fore Kopi Indonesia,"Gedung Graha Ganesha, Lantai 1 Suite 120 & 130, Jalan Hayam Wuruk Nomor 28, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Psikologi, Teknik Industri, Administrasi Bisnis, Manajemen Sumber Daya Manusia"
Staff Office HCGA,Pertamina Bina Medika Ihc,"JL..KYAI MAJA NO.43, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Sumber Daya Manusia, Psikologi, Manajemen"
General Affairs & Procurement Intern,PT. Midea Planet Indonesia,"Perwata Tower Lantai 3, Jl. Pluit Selatan Raya Kav. 1
Penjaringan, Jakarta Utara 14440, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Administrasi, Manajemen Administrasi"
Pengelola Fasilitas Umum,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Elektro
HR Consultant,PT Medicap Sehat Solusi,"Sona Topas Tower Lantai 5A, Jl. Jend. Sudirman Kav. 26, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen, Ilmu Komunikasi, Administrasi Bisnis"
Admin Penjualan Internship,Delifru Utama Indonesia,"Jl. Penyelesaian Tomang III No.16 Blok 29, RT.8/RW.10, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi Niaga, Administrasi Publik, Ilmu Administrasi Bisnis, Manajemen Administrasi Perkantoran, Administrasi"
Pembina Kemandirian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Peternakan
Pengelola Fasilitas Umum,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Informatika
Site Counter,Fore Kopi Indonesia,"Gedung Graha Ganesha, Lantai 1 Suite 120 & 130, Jalan Hayam Wuruk Nomor 28, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Bisnis, Teknik Sipil, Teknik  Industri"
Magang Shift Engineering Data Center,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Elektro, Teknik Mesin, Teknik Industri, Teknik informatika"
Pembina Kemandirian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Desain Grafis
Pengelola Keuangan Dan Anggaran,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Akuntansi
HR Administration,PT Medicap Sehat Solusi,"Sona Topas Tower Lantai 5A, Jl. Jend. Sudirman Kav. 26, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Administrasi Bisnis, Administrasi Perkantoran, Ilmu Perpustakaan dan Informasi, Pengelolaan Arsip dan Rekaman Informasi"
Pembina Kemandirian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Tata Boga
Legal and Compliance Staff,PT Medicap Sehat Solusi,"Sona Topas Tower Lantai 5A, Jl. Jend. Sudirman Kav. 26, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Manajemen Bisnis, Hukum Bisnis, Hukum Administrasi Negara"
Magang Setlement Material,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Logistik, Teknik Industri, Administrasi Bisnis, Sistem Informasi"
Pengelola BMN,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Manajemen Aset Publik
Apoteker,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Farmasi, Farmasi Klinis"
Pembina Kepribadian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan Bahasa Indonesia, Pendidikan IPA, Pendidikan IPS, Pendidikan Matematika, Pendidikan Bahasa Inggris"
Magang ERP Technical Writer,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Sistem informasi"
PENGELOLA DATA DAN INFORMASI (DATA DAN INFORMASI),Badan Pengembangan Sumber Daya Manusia Imigrasi dan Pemasyarakatan,"Jl. H. R. Rasuna Said, RT.16/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistik, Ilmu Komputer, Sistem Informasi"
Lab Medik,PT Medika Prakarsa Ohih,"JL. RADIN INTEN II NO. 31, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Laboratorium Medis
Pembina Kemandirian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Perikanan
Perawat Kesehatan,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Gizi
Pembina Kemandirian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Pertanian
PENGELOLA KEHUMASAN,Badan Pengembangan Sumber Daya Manusia Imigrasi dan Pemasyarakatan,"Jl. H. R. Rasuna Said, RT.16/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Komunikasi, Desain Grafis, Hubungan Masyarakat, Desain Komunikasi Visual"
Pembina Kepribadian,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Pendidikan Agama Islam
Penata Layanan Operasional,Direktorat Kesatuan Pengawasan Laut dan Pelayaran (KPLP),"Jl. Medan merdeka barat no 8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Komputer Grafis, Manajemen Informatika, Teknik Informatika"
Pengolah data dan Informasi,Direktorat Kesatuan Pengawasan Laut dan Pelayaran (KPLP),"Jl. Medan merdeka barat no 8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi, Manajemen, Ilmu Komputer"
Operation,PT. Jba Indonesia,"Jalan Sosial Nomor 4, Wijaya Kusuma, Grogol Petamburan., KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen, Teknik Industri, Administrasi Bisnis, Ilmu Komunikasi, Ekonomi"
Asisten Pengelola Pertanian,Pusat Data dan Sistem Informasi Pertanian,"Kementerian Pertanian Gedung D Lantai IV -  Jl. Harsono RM No. 3 Ragunan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sistem Informasi, Teknik Informatika, Ilmu Informatika, Ilmu Komputer"
DESAIN PEMBELAJARAN,Badan Pengembangan Sumber Daya Manusia Imigrasi dan Pemasyarakatan,"Jl. H. R. Rasuna Said, RT.16/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Pendidikan, Manajemen Pendidikan"
ADMIN SELLER & BUYER,PT. Jba Indonesia,"Jalan Sosial Nomor 4, Wijaya Kusuma, Grogol Petamburan., KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi Perkantoran, Administrasi Bisnis, Akuntansi, Logistik, Komunikasi"
LOGISTIC STAFF,PT. Jba Indonesia,"Jalan Sosial Nomor 4, Wijaya Kusuma, Grogol Petamburan., KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Logistik, Teknik Industri, Manajemen dan Administrasi Logistik, Logistik Bisnis"
Social Media Manager,PT. Ivonesia Solusi Data,"Gedung Epicentrum Walk, Lantai 5, Office Suites South 529A, Rasuna Epicentrum, Jalan H. R. Rasuna Said, Karet Kuningan, Setiabudi, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Manajemen Pemasaran/Marketing, Teknologi Multimedia dan Broadcasting, Desain Komunikasi Visual"
Pustakawan,Pusat Bibliografi dan Pengolahan Bahan Perpustakaan,"Jl. Salemba Raya No. 28A, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komputer, Sistem Informasi, Desain Komunikasi Visual"
Staf Bidang Perdagangan,Sekretariat Direktorat Jenderal Perlindungan Konsumen dan Tertib Niaga,"Jalam M.I. Ridwan Rais No.5, Jakarta Pusat-DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hukum, Ekonomi, Ilmu Komunikasi"
Staf Bidang Perdagangan,Sekretariat Direktorat Jenderal Perlindungan Konsumen dan Tertib Niaga,"Jalam M.I. Ridwan Rais No.5, Jakarta Pusat-DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Hukum, Teknologi Informasi"
Software Tester,Adicipta Inovasi Teknologi,"GRHA ADINS JL. PANJANG NO 9C, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Informatika, Sistem informasi, Sistem Komputer, Teknik Komputer, Ilmu Komputer"
Staf Administrasi  Bidang Pengawasan Internal,Sekretariat Inspektorat Jenderal,"Jalan M. I. Ridwan Rais No.5, Jakarta Pusat, DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Administrasi Publik, Akuntansi, Ekonomi, Hukum"
Staf Administrasi Bidang Pengawasan Internal,Sekretariat Inspektorat Jenderal,"Jalan M. I. Ridwan Rais No.5, Jakarta Pusat, DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Administrasi Publik, Akuntansi, Ekonomi, Hukum"
Staf Administrasi,Sekretariat Inspektorat Jenderal,"Jalan M. I. Ridwan Rais No.5, Jakarta Pusat, DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Manajemen, Akuntansi, Administrasi Bisnis, Administrasi Publik"
Staf Administrasi Bidang Pengawasan Internal,Sekretariat Inspektorat Jenderal,"Jalan M. I. Ridwan Rais No.5, Jakarta Pusat, DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Publik, Akuntansi, Ekonomi, Manajemen, Hukum"
Staf Administrasi Bidang Pengawasan Internal,Sekretariat Inspektorat Jenderal,"Jalan M. I. Ridwan Rais No.5, Jakarta Pusat, DKI Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Administrasi Publik, Ekonomi, Akuntansi, Hukum"
Pengelola Data dan Informasi,Pusat Pengembangan Sumber Daya Manusia,"Jl. Letjen M.T. Haryono Kav. 52, RT.3/RW.4, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Manajemen Informatika"
Data Analyst,Ditjen Perbendaharaan,"GEDUNG PRIJADI PRAPTOSUHARDJO I LANTAI 3. JL. LAPANGAN BANTENG TIMUR NO. 2-4 JAKARTA PUSAT, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika dan Sains Data, Sains Data Terapan"
Data Processing Intern,Markplus Indonesia,"EightyEight@Kasablanka Lantai 8 Jalan Casablanca Raya Kav. 88, Menteng Dalam, Tebet, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistik, Statistika Bisnis, Teknik Industri, Matematika, Teknik Informatika"
Comercial Non Fresh Staff,Matahari Putra Prima,"Cibubur Junction, Jl. Jambore Raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ekonomi
Information and Techonolgy,PT. Gobel Dharma Sarana Karya,"JL. DEWI SARTIKA NO. 14 KEL. CAWANG KEC. KRAMAT JATI JAKARTA TIMUR 13630, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Teknik Informatika
Quality Training & Support,Satvika Pandu Pramana,"Jalan H. Bokir Bin Dji’un Nomor 37, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Sipil, Teknik Kimia, Teknik Metalurgi, Administrasi, Manajemen"
IT Engineer (Integrated & Automation),It Group Indonesia,"WISMA KODEL LANTAI 7 JL. H.R. RASUNA SAID KAV. B4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Informatika, Sistem Informasi"
IT Engineer (Database),It Group Indonesia,"WISMA KODEL LANTAI 7 JL. H.R. RASUNA SAID KAV. B4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Informatika, Sistem Informasi"
IT Engineer (Linux),It Group Indonesia,"WISMA KODEL LANTAI 7 JL. H.R. RASUNA SAID KAV. B4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Informatika, Sistem informasi"
Product Representative,Mitra Integrasi Informatika,"APL Tower Lantai 37 Suite 1 - 8, JL. Letnan Jenderal Siswondo Parman Kaveling 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Informatika, Sistem Informasi, Teknik Telekomunikasi, Manajemen Bisnis, Teknologi Informasi"
Staf Engineering Design Visual,Perusahaan Perseroan (Persero) PT. Wijaya Karya,"JL. D.I. PANJAITAN KAV. 9-10,, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Desain Komunikasi Visual
Fasilitator Pemerintahan,Biro Manajemen Kinerja dan Kerjasama,"Jalan MT Haryono Kav 52, Pancoran, Jakarrta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Publik, Ekonomi, Ekonomi Pembangunan, Hubungan Masyarakat, Hukum"
Digital Creative Content,Kolaborasi Ekosistem Multi Aplikasi Sistemis,"Infiniti Office, Menara Cakrawala 12th Floor Unit 5A, Jl. M.H. Thamrin, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Komunikasi, Pemasaran Digital, Bisnis Digital"
Legal,Kolaborasi Ekosistem Multi Aplikasi Sistemis,"Infiniti Office, Menara Cakrawala 12th Floor Unit 5A, Jl. M.H. Thamrin, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Hukum, Hukum Bisnis, Administrasi Bisnis"
Akuntan,Kolaborasi Ekosistem Multi Aplikasi Sistemis,"Infiniti Office, Menara Cakrawala 12th Floor Unit 5A, Jl. M.H. Thamrin, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Keuangan, Manajemen Keuangan"
Lab Medik,PT Medika Prakarsa Ohih,"JL. RADIN INTEN II NO. 31, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Laboratorium Medis
"Keberlanjutan Ekonomi, Sosial dan  Lingkungan",Bank Bca Syariah,"JL. JATINEGARA TIMUR NOMOR 72, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ekonomi Sumberdaya Dan Lingkungan, Manajemen dan Bisnis Syariah, Manajemen, Ilmu Komunikasi, Administrasi"
Graduate Intern,Indonesia Carbon Capture And Storage Center,"Gedung Plaza Asia Lantai 18, Jalan Jenderal Sudirman Kaveling 59, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Hukum, Ilmu Perpustakaan, Teknik Kimia, Teknik Mesin"
Analis Kinerja,Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Bisnis, Manajemen Keuangan, Teknik Industri"
"Arsiparis Biro Perencanaan, Organisasi dan Kepegawaian",Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Informasi, Perpustakaan & Kearsipan, Kearsipan, Kearsipan Digital, Manajemen Rekod dan Arsip, Pengelolaan Arsip dan Rekaman Informasi"
Analis Sistem Informasi,Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika, Sistem Informasi, Ilmu Komputer, Sistem dan Teknologi Informasi"
Arsiparis pada Asisten Deputi Bidang Manajemen Sumber Daya Manusia BUMN,Kementerian Badan Usaha Milik Negara,"Jalan Medan Merdeka Selatan No. 13, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Informasi, Perpustakaan & Kearsipan, Kearsipan, Kearsipan Digital, Manajemen Rekod dan Arsip, Pengelolaan Arsip dan Rekaman Informasi"
Desain Komunikasi Visual,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Desain Komunikasi Visual
Elektromedik,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Elektromedik
Gizi dan Dietetika,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Gizi dan Dietetika
